dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added,species_group,_technology_clean
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX191,TENX191.tif,Breast,Cancer,IDC,Homo sapiens,Patient 1,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,6111,FFPE,541,,0.2738092998726321,0.2740410920775886,,20515,43995,Breast,"IDC, T3 N0 M0, G3, HER2-Neg","Section 1, top",v1_3_0,Human,Xenium
Post-Xenium Technical Note: Xenium v1 and Xenium Prime 5K for FFPE Human Lung Cancer,TENX190,TENX190.tif,Lung,Cancer,LUAD,Homo sapiens,,Xenium 5k,2024-11-06,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote,100.0,100.0,7281,FFPE,541,,0.2738086101362688,0.2740367237600741,,25078,43448,Lung,"Lung Cancer, Invasive Acinar Adenocarcinoma, IB, T2a N0 MX","Experiment 1, Xenium v1",v1_3_0,Human,Xenium 5k
Post-Xenium Technical Note: Xenium v1 and Xenium Prime 5K for FFPE Human Lung Cancer,TENX189,TENX189.tif,Lung,Cancer,LUAD,Homo sapiens,,Xenium 5k,2024-11-06,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote,100.0,100.0,7189,FFPE,10029,,0.2737674721480609,0.2737631333458806,,26720,43270,Lung,"Lung Cancer, Invasive Acinar Adenocarcinoma, IB, T2a N0 MX","Experiment 2, Xenium Prime 5K",v1_3_0,Human,Xenium 5k
Fresh Frozen Human Ovarian Adenocarcinoma with 5K Human Pan Tissue and Pathways Panel,TENX160,TENX160.tif,Ovary,Cancer,HGSOC,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-fresh-frozen-human-ovary,100.0,100.0,20123,Fresh Frozen,5001,,0.2737753794567825,0.2737374305049762,,78928,41263,Ovary,Ovarian Adenocarcinoma,,v1_3_0,Human,Xenium 5k
FFPE Human Ovarian Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,TENX187,TENX187.tif,Ovary,Cancer,HGSOC,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-ovarian-cancer,100.0,100.0,8556,FFPE,5101,,0.2738174795111963,0.2740338449672789,,30918,43993,Ovary,Ovarian Papillary Serous Carcinoma: III-B (T3b N0 MX),,v1_3_0,Human,Xenium 5k
FFPE Human Cervical Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,TENX188,TENX188.tif,Cervix,Cancer,TODO,Homo sapiens,,Xenium 5k,2024-09-04,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-cervical-cancer,100.0,100.0,10924,FFPE,5001,,0.2738144880009973,0.2741220366330526,,38219,46545,Cervix,Stage III-B (T1b N1 MX),,v1_3_0,Human,Xenium 5k
"Cross-Platform Comparison: Visium HD Spatial Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX185,TENX185.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD,2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2068,Fresh Frozen,18132,,0.264583333333333,0.27387774332693,40x,24882,30496,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Minimum Sequencing Depth,v1_2_0,Human,Visium HD
"Cross-Platform Comparison: Visium HD Spatial Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX184,TENX184.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD,2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2068,Fresh Frozen,18132,,0.264583333333333,0.27387774332693,40x,24882,30496,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Deep sequencing,v1_2_0,Human,Visium HD
"Cross-Platform Comparison: Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX183,TENX183.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD 3',2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2113,Fresh Frozen,38606,,0.264583333333333,0.273797392815952,40x,25811,26686,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Minimum Sequencing Depth,v1_2_0,Human,Visium HD 3'
"Cross-Platform Comparison: Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX182,TENX182.tif,Ovary,Cancer,SOC,Homo sapiens,,Visium HD 3',2025-10-07,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-discovery-fresh-frozen,2.0,2.0,2113,Fresh Frozen,38606,,0.264583333333333,0.273797392815952,40x,25811,26686,Ovary,"(Ovarian Cancer, Ovarian Papillary Serous Carcinoma, II-A).",Deep sequencing,v1_2_0,Human,Visium HD 3'
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen), Ultima Sequencing",TENX180,TENX180.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2025-07-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-breast-cancer-ff-ultima-4,2.0,2.0,2377,Fresh Frozen,18085,,0.264583333333333,0.546840692459342,40x,16016,14625,Breast,Invasive ductal carcinoma (DCIS RIN: 7.7),,v1_2_0,Human,Visium HD
"Visium HD 3' Gene Expression Library, Human Pancreatic Cancer (Fresh Frozen)",TENX179,TENX179.tif,Pancreas,Cancer,PDAC,Homo sapiens,,Visium HD 3',2025-07-03,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-human-pancreatic-cancer-fresh-frozen,2.0,2.0,2164,Fresh Frozen,38606,,0.264583333333333,0.273595314382342,40x,45702,48733,Pancreas,,,v1_2_0,Human,Visium HD 3'
"Visium HD 3' Gene Expression Library, Human Ovarian Cancer (Fresh Frozen)",TENX177,TENX177.tif,Ovary,Cancer,CCOV,Homo sapiens,,Visium HD 3',2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-ovarian-cancer-fresh-frozen,2.0,2.0,1963,Fresh Frozen,38606,,0.264583333333333,0.273706175825143,40x,83479,53112,Ovary,Clear Cell Adenocarcinoma,,v1_2_0,Human,Visium HD 3'
"Visium HD 3' Gene Expression Library, Human + Mouse Xenograft (Fresh Frozen)",TENX175,TENX175.tif,Bowel,Cancer/Genetically modified,COAD,Homo sapiens/Mus musculus,,Visium HD 3',2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-three-prime-human-mouse-xenograft-fresh-frozen,2.0,2.0,2163,Fresh Frozen,72302,,0.264583333333333,0.273700254366803,40x,23070,34518,Colon,,,v1_2_0,Human,Visium HD 3'
"Visium HD Spatial Gene Expression Library, Human Prostate Cancer (FFPE)",TENX174,TENX174.tif,Prostate,Cancer,PRAD,Homo sapiens,,Visium HD,2025-06-10,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-prostate-cancer-ffpe,2.0,2.0,2385,FFPE,18132,,0.264583333333333,0.273803518867898,40x,28288,24794,Prostate,,,v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX171,TENX171.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1774,FFPE,18085,,0.264583333333333,0.273696892898189,40x,26720,43270,Lung,,"Experiment 2, post-Xenium Prime 5K",v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX170,TENX170.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1877,FFPE,18085,,0.264583333333333,0.27381161527725,40x,25078,43266,Lung,,"Experiment 2, HD only (control)",v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX169,TENX169.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1897,FFPE,18085,,0.264583333333333,0.273687496942159,40x,25078,43448,Lung,,"Experiment 1, post-Xenium v1",v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Libraries, Post-Xenium, Human Lung Cancer (FFPE)",TENX168,TENX168.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt,2.0,2.0,1952,FFPE,18085,,0.264583333333333,0.273755424119274,40x,25625,43630,Lung,,"Experiment 1, HD only (control)",v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Library, Human Lung Cancer (Fixed Frozen)",TENX163,TENX163.tif,Lung,Cancer,LUAD,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-fixed-frozen,2.0,2.0,2487,Fixed Frozen,18085,,0.264583333333333,0.273716933152281,40x,54639,29814,Lung,,,v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen)",TENX162,TENX162.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-breast-cancer-fresh-frozen,2.0,2.0,2021,Fresh Frozen,18085,,0.264583333333333,0.273836697733682,40x,34009,25840,Breast,DCIS,,v1_2_0,Human,Visium HD
"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fixed Frozen)",TENX161,TENX161.tif,Breast,Cancer,IDC,Homo sapiens,,Visium HD,2024-09-17,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-breast-cancer-fixed-frozen,2.0,2.0,2809,Fixed Frozen,18085,,0.264583333333333,0.273787250340856,40x,42052,38345,Breast,Invasive ductal carcinoma,,v1_2_0,Human,Visium HD
FFPE Human Skin Primary Dermal Melanoma with 5K Human Pan Tissue and Pathways Panel,TENX158,TENX158.tif,Skin,Cancer,SKCM,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-skin,,,2179,FFPE,10017,,0.273776930991814,0.273753681255925,40x,18669,35787,Skin,Primary Dermal Melanoma ,,v1_1_0,Human,Xenium
FFPE Human Prostate Adenocarcinoma with 5K Human Pan Tissue and Pathways Panel,TENX157,TENX157.tif,Prostate,Cancer,PRAD,Homo sapiens,,Xenium,7/31/24,Creative Commons Attribution,,https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-prostate,,,4427,FFPE,10006,,0.273771729296376,0.273741465304451,40x,25002,49976,Prostate,,,v1_1_0,Human,Xenium
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX156,TENX156.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2179,FFPE,18085,,0.264583333333333,0.273802324565481,40x,71106,58791,Colon,Stage II-A ,"Visium HD, Sample P1 CRC",v1_1_0,Human,Visium HD
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX155,TENX155.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2281,FFPE,18085,,0.264583333333333,0.273874419926874,40x,75250,48740,Colon,,"Visium HD, Sample P2 CRC",v1_1_0,Human,Visium HD
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX154,TENX154.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 5,Visium HD,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,2.0,2.0,2220,FFPE,18085,,0.264583333333333,0.273770509329827,40x,72897,64370,Colon,,"Visium HD, Sample P5 CRC",v1_1_0,Human,Visium HD
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX152,TENX152.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Visium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,100.0,55.0,4269,FFPE,18085,,0.264583333333333,0.273723960330269,40x,76190,49099,Colon,,"Visium CytAssist v2, Sample P2 CRC",v1_1_0,Human,Visium
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX149,TENX149.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 1,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4009,FFPE,541,,0.273776818561148,0.274030888058221,40x,70534,60222,Colon,Stage II-A ,"Xenium In Situ, Sample P1 CRC",v1_1_0,Human,Xenium
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX148,TENX148.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 2,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,4379,FFPE,541,,0.273776188951127,0.273760357163598,40x,75184,48582,Colon,,"Xenium In Situ, Sample P2 CRC",v1_1_0,Human,Xenium
Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,TENX147,TENX147.tif,Bowel,Cancer,COAD,Homo sapiens,Patient 5,Xenium,7/11/24,Creative Commons Attribution,https://www.biorxiv.org/content/10.1101/2024.06.04.597233v1.full,https://www.10xgenomics.com/products/visium-hd-spatial-gene-expression/dataset-human-crc,,,3997,FFPE,541,,0.273775371961487,0.24970220990847,40x,71082,66226,Colon,Stage IV-A ,"Xenium In Situ, Sample P5 CRC",v1_1_0,Human,Xenium
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN81,ZEN81.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100.0,55.0,4991,Fresh Frozen,68886,,0.220818796095924,0.220802767396177,40x,35392,36416,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S1",v1_1_0,Animal,Visium
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN80,ZEN80.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100.0,55.0,4992,Fresh Frozen,68886,,0.220818796095924,0.220376673687378,40x,36096,36992,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S2",v1_1_0,Animal,Visium
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN79,ZEN79.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100.0,55.0,4991,Fresh Frozen,68886,,0.220818796095924,0.220804441171179,40x,36288,36544,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S3",v1_1_0,Animal,Visium
Nextflow Pipeline for Visium and H&E Data from Patient-Derived Xenograft Samples,ZEN78,ZEN78.tif,Skin,Cancer,MEL,Mus musculus,,Visium,21-May-24,Creative Commons Attribution 4.0 International,https://www.biorxiv.org/content/10.1101/2023.07.27.550727v1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE238004,100.0,55.0,4992,Fresh Frozen,68886,,0.220818796095924,0.220768269145843,40x,35904,36608,Skin,WM4237-1 melanoma PDX,"WM4237-1, mouse 1337, untreated, sample S4",v1_1_0,Animal,Visium
COLON MAP: Colon Molecular Atlas Project,MISC73,MISC73.tif,Bowel,Cancer,COAD,Homo sapiens,   ,Visium,December 7 2023,CC BY-NC-ND 4.0,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,https://humantumoratlas.org/explore?selectedFilters=%5B%7B%22value%22%3A%22HTAN+Vanderbilt%22%2C%22group%22%3A%22AtlasName%22%2C%22count%22%3A2389%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%2210x+Visium%22%2C%22group%22%3A%22assayName%22%2C%22count%22%3A369%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22hdf5%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22tif%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%5D&tab=file,100.0,55.0,3901,FFPE,19074,,1.0,0.275682888253711,40x,40647,37511,Colon,Not otherwise specified,6723_KL_1,v1_1_0,Human,Visium
COLON MAP: Colon Molecular Atlas Project,MISC72,MISC72.tif,Bowel,Cancer,COAD,Homo sapiens,   ,Visium,December 7 2023,CC BY-NC-ND 4.0,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,https://humantumoratlas.org/explore?selectedFilters=%5B%7B%22value%22%3A%22HTAN+Vanderbilt%22%2C%22group%22%3A%22AtlasName%22%2C%22count%22%3A2389%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%2210x+Visium%22%2C%22group%22%3A%22assayName%22%2C%22count%22%3A369%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22hdf5%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22tif%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%5D&tab=file,100.0,55.0,4369,FFPE,19310,,1.0,0.276276550066396,40x,35672,31259,Colon,Not otherwise specified,6723_KL_2,v1_1_0,Human,Visium
COLON MAP: Colon Molecular Atlas Project,MISC71,MISC71.tif,Bowel,Cancer,COAD,Homo sapiens,   ,Visium,December 7 2023,CC BY-NC-ND 4.0,https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020,https://humantumoratlas.org/explore?selectedFilters=%5B%7B%22value%22%3A%22HTAN+Vanderbilt%22%2C%22group%22%3A%22AtlasName%22%2C%22count%22%3A2389%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%2210x+Visium%22%2C%22group%22%3A%22assayName%22%2C%22count%22%3A369%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22hdf5%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%2C%7B%22value%22%3A%22tif%22%2C%22group%22%3A%22FileFormat%22%2C%22count%22%3A41%2C%22isSelected%22%3Afalse%7D%5D&tab=file,100.0,55.0,2997,FFPE,19251,,1.0,0.27565137797477,40x,43347,34811,Colon,Not otherwise specified,6723_KL_3,v1_1_0,Human,Visium
